"Date","Game","Earnings","Players","Tournaments"
2012-04-01,"Quake Live",1159.96,4,6
2012-04-01,"Age of Empires",1015,19,1
2012-04-01,"Super Smash Bros. Brawl",725,10,5
2012-04-01,"WarCraft III",668.16,5,6
2012-04-01,"TrackMania 2: Canyon",658.3,3,5
2012-04-01,"Street Fighter X Tekken",600,12,3
2012-04-01,"Defense of the Ancients",507.1,20,1
2012-04-01,"TrackMania Nations Forever",457.75,3,1
2012-04-01,"Super Street Fighter IV Arcade Edition",210,3,1
2012-04-01,"Age of Empires III",145,3,1
2012-05-01,"StarCraft II",314569.71,180,70
2012-05-01,"League of Legends",228878.36,233,34
2012-05-01,"Counter-Strike",38374.64,105,9
2012-05-01,"Point Blank",30000,15,2
2012-05-01,"FIFA 12",26643.73,11,6
2012-05-01,"Counter-Strike: Source",15483.81,80,4
2012-05-01,"Call of Duty: Modern Warfare 3",11821.28,24,6
2012-05-01,"Heroes of Newerth",11588.93,40,2
2012-05-01,"Dota 2",8843.93,44,9
2012-05-01,"Street Fighter X Tekken",1386.3,14,5
2012-05-01,"Super Smash Bros. Melee",1340,11,2
2012-05-01,"Super Street Fighter IV Arcade Edition",720,7,4
2012-05-01,"WarCraft III",513.01,3,4
2012-05-01,"Quake Live",513,3,4
2012-05-01,"TrackMania 2: Canyon",511.92,3,4
2012-05-01,"Defense of the Ancients",507.27,20,1
2012-05-01,"Age of Empires II",335,1,1
2012-05-01,"Project M",280,4,1
2012-05-01,"QuakeWorld",255.66,1,1
2012-05-01,"TrackMania Nations Forever",239,4,1
2012-05-01,"StarCraft: Brood War",140,7,4
2012-06-01,"StarCraft II",220883.6,224,67
2012-06-01,"League of Legends",196210.72,188,38
2012-06-01,"Heroes of Newerth",57653.73,44,7
2012-06-01,"Counter-Strike",42755.95,95,8
2012-06-01,"Dota 2",36447.31,41,8
2012-06-01,"Mortal Kombat 9",27700,11,2
2012-06-01,"World of Tanks",19466.8,28,1
2012-06-01,"Soul Calibur V",16700,8,2
2012-06-01,"Quake Live",11256.86,8,6
2012-06-01,"Bloodline Champions",10000,9,1
2012-06-01,"Super Street Fighter IV Arcade Edition",7604.77,15,6
2012-06-01,"Battlefield 3",7110.86,5,1
2012-06-01,"CrossFire",6488.93,15,1
2012-06-01,"WarCraft III",6440.16,8,6
2012-06-01,"Defense of the Ancients",5968.98,0,1
2012-06-01,"King of Fighters XIII",5000,7,2
2012-06-01,"Call of Duty: Modern Warfare 3",3920,14,4
2012-06-01,"FIFA 12",3861.95,8,6
2012-06-01,"Street Fighter X Tekken",3199.34,11,6
2012-06-01,"Ultimate Marvel vs. Capcom 3",3000,3,1
2012-06-01,"StarCraft: Brood War",2998.87,12,3
2012-06-01,"Counter-Strike: Source",1368.84,20,1
2012-06-01,"Super Smash Bros. Brawl",670,7,2
2012-06-01,"TrackMania 2: Canyon",376.35,2,3
2012-06-01,"Tekken 6",0,3,1
2012-07-01,"StarCraft II",609856.58,399,79
2012-07-01,"League of Legends",94428.41,206,47
2012-07-01,"Counter-Strike",55880.83,105,5
2012-07-01,"Counter-Strike: Source",43513.1,96,7
2012-07-01,"Dota 2",41052.74,72,14
2012-07-01,"Counter-Strike Online",28332,20,1
2012-07-01,"Tekken Tag Tournament 2",21100,3,1
2012-07-01,"Age of Empires II",15000,37,1
2012-07-01,"Point Blank",15000,20,1
2012-07-01,"World of Tanks",15000,30,1
2012-07-01,"Team Fortress 2",10547.95,12,2
2012-07-01,"Heroes of Newerth",10005.34,43,7
2012-07-01,"Super Smash Bros. Melee",9349.9,44,8
2012-07-01,"Call of Duty: Modern Warfare 3",6667.51,28,5
2012-07-01,"Super Street Fighter IV Arcade Edition",6050,16,5
2012-07-01,"Street Fighter X Tekken",5645,16,5
2012-07-01,"Super Smash Bros. Brawl",3646.5,25,7
2012-07-01,"Call of Duty 4: Modern Warfare",3124.3,15,1
2012-07-01,"Street Fighter III: 3rd Strike",3050,6,1
2012-07-01,"Super Street Fighter II Turbo HD Remix",3050,6,1
2012-07-01,"TrackMania Nations Forever",2264.63,10,3
2012-07-01,"StarCraft: Brood War",947.64,5,3
2012-07-01,"Quake Live",616.77,2,5
2012-07-01,"FIFA 12",614.55,5,6
2012-07-01,"Counter-Strike: Global Offensive",490.16,16,4
2012-07-01,"WarCraft III",490.16,4,4
2012-07-01,"TrackMania 2: Canyon",245.82,1,2
2012-07-01,"Project M",60,2,1
2012-07-01,"King of Fighters XIII",0,3,1
2012-07-01,"Mortal Kombat 9",0,3,1
2012-07-01,"Soul Calibur V",0,3,1
2012-07-01,"Ultimate Marvel vs. Capcom 3",0,3,1
2012-08-01,"StarCraft II",341991.62,180,48
2012-08-01,"League of Legends",299717.44,193,37
2012-08-01,"StarCraft: Brood War",90558.57,20,3
2012-08-01,"Heroes of Newerth",47125.72,69,4
2012-08-01,"Dota 2",43604.54,45,8
2012-08-01,"Defense of the Ancients",42450.16,20,1
2012-08-01,"World of WarCraft",39000,12,2
2012-08-01,"Counter-Strike",31472.23,74,6
2012-08-01,"Quake Live",29500,18,4
2012-08-01,"WarCraft III",23577.83,19,6
2012-08-01,"Call of Duty: Modern Warfare 3",20886.17,33,3
2012-08-01,"Soul Calibur V",20200.9,12,3
2012-08-01,"Mortal Kombat 9",20100,10,2
2012-08-01,"Counter-Strike: Source",15579.96,50,3
2012-08-01,"Team Fortress 2",7908.14,48,1
2012-08-01,"Super Street Fighter IV Arcade Edition",7617.86,20,7
2012-08-01,"Counter-Strike: Global Offensive",5958.73,15,6
2012-08-01,"Pokémon VGC",5000,2,1
2012-08-01,"FIFA 12",3995.96,6,5
2012-08-01,"Call of Duty 4: Modern Warfare",3504.02,5,1
2012-08-01,"Super Street Fighter II Turbo HD Remix",3150,6,1
2012-08-01,"Street Fighter III: 3rd Strike",2730.72,7,2
2012-08-01,"Super Smash Bros. Brawl",1536.96,12,2
2012-08-01,"Super Smash Bros. Melee",1396.8,7,1
2012-08-01,"Ultimate Marvel vs. Capcom 3",696.23,3,1
2012-08-01,"Street Fighter X Tekken",650,5,2
2012-08-01,"Persona 4 Arena",181.63,3,1
2012-09-01,"Dota 2",1615721.38,66,7
2012-09-01,"League of Legends",373092.61,280,49
2012-09-01,"StarCraft II",266709.82,119,51
2012-09-01,"CrossFire",134653.9,60,6
2012-09-01,"Defense of the Ancients",45905.68,20,1
2012-09-01,"Counter-Strike",34642.05,77,6
2012-09-01,"KartRider",26700,16,1
2012-09-01,"Heroes of Newerth",21850,64,4
2012-09-01,"Super Street Fighter IV Arcade Edition",19067.26,16,6
2012-09-01,"Call of Duty: Modern Warfare 3",16728.01,19,3
2012-09-01,"Counter-Strike: Source",15995.33,30,2
2012-09-01,"Counter-Strike: Global Offensive",7131.6,45,7
2012-09-01,"WarCraft III",643.55,3,5
2012-09-01,"Age of Mythology",640,3,1
2012-09-01,"FIFA 12",386.07,6,4
2012-09-01,"FIFA 13",257.38,2,2
2012-09-01,"Quake Live",250,4,2
2012-09-01,"Age of Empires III",200,2,1
2012-09-01,"TrackMania Nations Forever",192.89,2,1
2012-09-01,"StarCraft: Brood War",140,3,1
2012-09-01,"King of Fighters XIII",0,8,1
2012-09-01,"Super Street Fighter II Turbo",0,4,1
2012-09-01,"Tekken 6",0,3,1
2012-09-01,"Ultimate Marvel vs. Capcom 3",0,8,1
2012-10-01,"League of Legends",2142991.87,189,22
2012-10-01,"StarCraft II",399792.06,167,46
2012-10-01,"Dota 2",38042.42,71,7
2012-10-01,"Counter-Strike",35000.52,40,3
2012-10-01,"iRacing.com",32500,8,2
2012-10-01,"Call of Duty: Modern Warfare 3",21292.24,61,3
2012-10-01,"Point Blank",15000,20,1
2012-10-01,"Quake Live",11578.87,7,5
2012-10-01,"Counter-Strike: Global Offensive",11232.84,66,8
2012-10-01,"Heroes of Newerth",9405.22,66,10
2012-10-01,"StarCraft: Brood War",6261.46,3,1
2012-10-01,"Call of Duty: Black Ops 2",5193.6,4,1
2012-10-01,"Team Fortress 2",4000,24,1
2012-10-01,"Age of Empires II",3000,16,1
2012-10-01,"Super Smash Bros. Melee",2999.8,16,3
2012-10-01,"CrossFire",2173.58,33,5
2012-10-01,"Call of Duty 4: Modern Warfare",765.79,10,1
2012-10-01,"Tekken Tag Tournament 2",585,15,7
2012-10-01,"WarCraft III",519.57,3,4
2012-10-01,"FIFA 13",519.12,4,4
2012-10-01,"Project M",411.81,6,2
2012-10-01,"Dead or Alive 5",0,4,1
2012-10-01,"King of Fighters XIII",0,8,1
2012-10-01,"Mortal Kombat 9",0,4,1
2012-10-01,"Persona 4 Arena",0,8,1
2012-10-01,"Street Fighter X Tekken",0,8,1
2012-10-01,"Super Street Fighter IV Arcade Edition",0,8,1
2012-10-01,"Ultimate Marvel vs. Capcom 3",0,8,1
2012-11-01,"StarCraft II",570152.17,172,39
2012-11-01,"League of Legends",369777.98,315,29
2012-11-01,"World of WarCraft",189000,12,1
2012-11-01,"Dota 2",130845.7,82,12
2012-11-01,"Counter-Strike: Global Offensive",98963.99,98,11
2012-11-01,"Heroes of Newerth",62487.67,65,6
2012-11-01,"Halo 4",40000,16,1
2012-11-01,"Tekken Tag Tournament 2",36470,34,7
2012-11-01,"ShootMania Storm",20000,9,1
2012-11-01,"WarCraft III",17512.65,6,5
2012-11-01,"Mortal Kombat 9",16700,8,1
2012-11-01,"Counter-Strike",14900,20,1
2012-11-01,"FIFA 13",11957.82,12,7
2012-11-01,"Quake Live",11057,9,5
2012-11-01,"TrackMania Nations Forever",10239.5,6,2
2012-11-01,"TrackMania 2: Canyon",10000,3,1
2012-11-01,"Super Street Fighter IV Arcade Edition",7955.86,8,3
2012-11-01,"Point Blank",5500,0,1
2012-11-01,"World of Tanks",5000,0,1
2012-11-01,"rFactor",4645.73,29,1
2012-11-01,"Team Fortress 2",3254.53,18,1
2012-11-01,"Super Smash Bros. Melee",3030,27,4
2012-11-01,"CrossFire",2173.58,42,5
2012-11-01,"StarCraft: Brood War",833.65,11,5
2012-11-01,"King of Fighters XIII",295,3,1
2012-11-01,"Persona 4 Arena",295,3,1
2012-11-01,"Call of Duty: Black Ops",240,0,1
2012-12-01,"StarCraft II",602120.22,182,40
2012-12-01,"League of Legends",237414.41,217,30
2012-12-01,"Dota 2",107533.25,78,11
2012-12-01,"Counter-Strike: Global Offensive",97452.12,157,11
2012-12-01,"Heroes of Newerth",82200,150,13
2012-12-01,"ShootMania Storm",80000,18,1
2012-12-01,"Counter-Strike Online",77776,25,2
2012-12-01,"World of Tanks",69035.47,36,2
2012-12-01,"Super Street Fighter IV Arcade Edition",56843.79,19,3
2012-12-01,"Defense of the Ancients",56770.86,40,2
2012-12-01,"Street Fighter X Tekken",53700,16,1
2012-12-01,"CrossFire",48580.37,68,6
2012-12-01,"Call of Duty: Black Ops 2",24804.35,28,3
2012-12-01,"Counter-Strike",24622,45,2
2012-12-01,"FIFA 12",17000,3,1
2012-12-01,"Point Blank",15000,20,1
2012-12-01,"WarCraft III",14390.76,4,4
2012-12-01,"Street Fighter III: 3rd Strike",10000,8,1
2012-12-01,"Super Street Fighter II Turbo HD Remix",10000,8,1
2012-12-01,"FIFA 13",4388.95,6,5
2012-12-01,"Team Fortress 2",1601.45,5,1
2012-12-01,"Super Smash Bros. Brawl",1560,10,3
2012-12-01,"Age of Empires II",1307.94,8,1
2012-12-01,"TrackMania Nations Forever",1001.77,3,1
2012-12-01,"Super Smash Bros. Melee",892,13,3
2012-12-01,"Quake Live",500,3,4
2012-12-01,"Tekken Tag Tournament 2",315,6,3
2012-12-01,"StarCraft: Brood War",140,6,2
2012-12-01,"Age of Mythology",50,4,1
2013-01-01,"StarCraft II",107833.16,82,24
2013-01-01,"League of Legends",79274.02,118,25
2013-01-01,"Heroes of Newerth",70100,126,12
2013-01-01,"Counter-Strike: Global Offensive",22421.56,80,8
2013-01-01,"Super Smash Bros. Brawl",10129.9,24,6
2013-01-01,"Halo 4",9600,12,1
2013-01-01,"Super Smash Bros. Melee",9100,33,8
2013-01-01,"Dota 2",8135.99,15,3
2013-01-01,"Call of Duty 4: Modern Warfare",3339.24,0,1
2013-01-01,"Call of Duty: Black Ops 2",2584.64,12,1
2013-01-01,"CrossFire",2336.6,39,6
2013-01-01,"WarCraft III",1478.34,5,5
2013-01-01,"Super Smash Bros.",1460,8,1
2013-01-01,"Super Street Fighter IV Arcade Edition",1210,8,4
2013-01-01,"Ultimate Marvel vs. Capcom 3",1210,7,4
2013-01-01,"Age of Empires",881,12,1
2013-01-01,"Age of Empires II",804.27,1,1
2013-01-01,"FIFA 13",532.16,4,4
2013-01-01,"StarCraft: Brood War",473.58,1,1
2013-01-01,"Quake Live",375,5,3
2013-01-01,"Age of Mythology",40,1,1
2013-02-01,"FIFA 13",400534.28,17,6
2013-02-01,"Madden NFL 2013",4e+05,8,1
2013-02-01,"League of Legends",374412.5,234,32
2013-02-01,"StarCraft II",81859.39,132,38
2013-02-01,"Heroes of Newerth",76350,65,14
2013-02-01,"NHL 13",70000,1,1
2013-02-01,"Counter-Strike: Global Offensive",54686.72,200,21
2013-02-01,"KartRider",27570,16,1
2013-02-01,"Dota 2",13141.28,79,11
2013-02-01,"Call of Duty: Black Ops 2",7061.23,12,2
2013-02-01,"Halo 4",2250,0,2
2013-02-01,"CrossFire",2173.58,41,5
2013-02-01,"Call of Duty 4: Modern Warfare",1976.19,10,1
2013-02-01,"Team Fortress 2",1636.77,18,2
2013-02-01,"Ultimate Marvel vs. Capcom 3",980,7,4
2013-02-01,"Super Street Fighter IV Arcade Edition",950,8,4
2013-02-01,"Super Smash Bros. Melee",930,16,6
2013-02-01,"Street Fighter X Tekken",880,12,7
2013-02-01,"WarCraft III",535.64,3,4
2013-02-01,"StarCraft: Brood War",393.15,5,3
2013-02-01,"Project M",355,10,3
2013-02-01,"Super Smash Bros. Brawl",330,11,4
2013-02-01,"Tekken Tag Tournament 2",275,5,3
2013-02-01,"ShootMania Storm",131.91,1,1
2013-02-01,"Super Smash Bros.",70,2,1
2013-03-01,"StarCraft II",391772.25,168,40
2013-03-01,"League of Legends",326372.21,211,30
2013-03-01,"Heroes of Newerth",169939.26,107,16
2013-03-01,"Magic: The Gathering Online",116000,16,1
2013-03-01,"Dota 2",101861.58,122,15
2013-03-01,"Counter-Strike: Global Offensive",91418.13,236,16
2013-03-01,"Call of Duty: Black Ops 2",75215.32,80,4
2013-03-01,"WarCraft III",15131.44,7,6
2013-03-01,"ShootMania Storm",8177.35,10,7
2013-03-01,"Tekken Tag Tournament 2",6525,11,4
2013-03-01,"Point Blank",5124.7,3,2
2013-03-01,"Quake Live",3223.05,17,3
2013-03-01,"CrossFire",2445.28,40,6
2013-03-01,"TrackMania Nations Forever",1116.91,3,1
2013-03-01,"Super Street Fighter IV Arcade Edition",930,7,4
2013-03-01,"Age of Empires",924,17,1
2013-03-01,"Ultimate Marvel vs. Capcom 3",910,6,4
2013-03-01,"StarCraft: Brood War",710,10,4
2013-03-01,"Street Fighter X Tekken",660,12,7
2013-03-01,"FIFA 13",648.1,5,6
2013-03-01,"Super Smash Bros. Brawl",590,6,2
2013-03-01,"Unreal Tournament 3",165,4,1
2013-03-01,"Super Smash Bros. Melee",150,3,1
2013-03-01,"TrackMania 2: Stadium",64.84,6,2
2013-03-01,"Project M",40,4,1
2013-03-01,"TrackMania 2: Canyon",0,3,1
2013-04-01,"Call of Duty: Black Ops 2",1010000,35,3
2013-04-01,"League of Legends",390650.2,203,26
2013-04-01,"CrossFire",137770.58,68,6
2013-04-01,"Counter-Strike: Global Offensive",134104.1,219,19
2013-04-01,"Dota 2",105160.27,94,13
2013-04-01,"ShootMania Storm",100521.23,49,5
2013-04-01,"Heroes of Newerth",64311.48,65,5
2013-04-01,"StarCraft II",48115.01,56,30
2013-04-01,"Point Blank",15000,20,1
2013-04-01,"Counter-Strike",10080,21,1
2013-04-01,"Halo 4",10000,16,1
2013-04-01,"Team Fortress 2",4493.29,32,2
2013-04-01,"Super Smash Bros. Melee",2756,25,6
2013-04-01,"Quake Live",1006.2,8,1
2013-04-01,"Age of Empires II",1000,1,1
2013-04-01,"Super Street Fighter IV Arcade Edition",960,19,6
2013-04-01,"Ultimate Marvel vs. Capcom 3",800,12,5
2013-04-01,"TrackMania Nations Forever",765.07,8,1
2013-04-01,"Street Fighter X Tekken",730,20,8
2013-04-01,"WarCraft III",521.16,3,4
2013-04-01,"FIFA 13",521,3,4
2013-04-01,"Injustice: Gods Among Us",375,6,2
2013-04-01,"StarCraft: Brood War",299,9,3
2013-04-01,"TrackMania 2: Stadium",226.91,3,1
2013-04-01,"Tekken Tag Tournament 2",180,6,3
2013-04-01,"King of Fighters XIII",0,6,1
2013-04-01,"Mortal Kombat 9",0,4,1
2013-04-01,"Persona 4 Arena",0,1,1
2013-05-01,"StarCraft II",146353.52,87,32
2013-05-01,"Turbo Racing League",125000,6,2
2013-05-01,"Dota 2",99589.92,102,10
2013-05-01,"League of Legends",58834.46,111,20
2013-05-01,"Counter-Strike: Global Offensive",41123.31,126,16
2013-05-01,"FIFA 13",27836.23,8,6
2013-05-01,"Heroes of Newerth",23034.49,56,5
2013-05-01,"Call of Duty: Black Ops 2",22274.74,20,4
2013-05-01,"Super Street Fighter IV Arcade Edition",18502.62,19,10
2013-05-01,"StarCraft: Brood War",10872.24,22,4
2013-05-01,"WarCraft III",8600.77,21,8
2013-05-01,"Tekken Tag Tournament 2",6620,12,7
2013-05-01,"Ultimate Marvel vs. Capcom 3",3050,7,6
2013-05-01,"Halo 4",3000,4,1
2013-05-01,"Injustice: Gods Among Us",2785,16,11
2013-05-01,"Point Blank",2303.28,0,1
2013-05-01,"CrossFire",2173.58,31,5
2013-05-01,"TrackMania 2: Canyon",1427.78,3,1
2013-05-01,"Super Smash Bros. Melee",1097,22,7
2013-05-01,"Super Smash Bros. Brawl",821.94,17,4
2013-05-01,"Street Fighter X Tekken",805,15,11
2013-05-01,"Project M",520,15,4
2013-05-01,"ShootMania Storm",518.69,3,4
2013-05-01,"King of Fighters XIII",500,3,1
2013-05-01,"Persona 4 Arena",500,3,1
2013-05-01,"Age of Empires III",375.85,4,1
2013-05-01,"Age of Empires Online",230,3,1
2013-05-01,"BlazBlue: Continuum Shift Extend",0,3,1
2013-05-01,"Mortal Kombat 9",0,3,1
2013-06-01,"League of Legends",797837.71,320,38
2013-06-01,"StarCraft II",547093.98,239,59
2013-06-01,"Turbo Racing League",312500,10,5
2013-06-01,"CrossFire",182445.28,109,7
2013-06-01,"Counter-Strike: Global Offensive",149984.7,187,17
2013-06-01,"World of Tanks",1e+05,21,1
2013-06-01,"Call of Duty: Black Ops 2",64521.82,58,4
2013-06-01,"Dota 2",55753.35,85,7
2013-06-01,"Counter-Strike Online",37776,15,1
2013-06-01,"Heroes of Newerth",35880.51,50,4
2013-06-01,"Halo 4",28500,17,3
2013-06-01,"Super Street Fighter IV Arcade Edition",20058.58,33,9
2013-06-01,"WarCraft III",10443.69,7,6
2013-06-01,"FIFA 13",8415.9,13,6
2013-06-01,"Ultimate Marvel vs. Capcom 3",3890,21,5
2013-06-01,"Super Smash Bros. Melee",3690.61,32,7
2013-06-01,"Injustice: Gods Among Us",3555,29,9
2013-06-01,"Divekick",2300,8,1
2013-06-01,"Quake Live",1881.63,9,2
2013-06-01,"Super Smash Bros. Brawl",1298.78,15,3
2013-06-01,"Tekken Tag Tournament 2",1200,14,5
2013-06-01,"Street Fighter X Tekken",1040,14,4
2013-06-01,"StarCraft: Brood War",859.8,13,5
2013-06-01,"Project M",819.48,10,2
2013-06-01,"ShootMania Storm",656.89,3,5
2013-06-01,"Persona 4 Arena",540,3,1
2013-06-01,"Age of Empires",440,8,1
2013-06-01,"King of Fighters XIII",440,3,1
2013-06-01,"Super Smash Bros.",410,6,1
2013-06-01,"Mortal Kombat 9",310,3,1
2013-06-01,"Soul Calibur V",310,3,1
2013-06-01,"Skullgirls",300,3,1
2013-07-01,"Turbo Racing League",562500,6,2
2013-07-01,"Dota 2",425214,195,18
2013-07-01,"League of Legends",267542.39,207,26
2013-07-01,"StarCraft II",176737.23,192,51
2013-07-01,"Call of Duty: Black Ops 2",71052.57,36,5
2013-07-01,"Counter-Strike: Global Offensive",40093.04,126,12
2013-07-01,"Point Blank",19836.37,20,2
2013-07-01,"Super Street Fighter IV Arcade Edition",18936,24,12
2013-07-01,"Ultimate Marvel vs. Capcom 3",14345,18,7
2013-07-01,"Halo 4",10500,13,3
2013-07-01,"Super Smash Bros. Melee",7965,29,8
2013-07-01,"Heroes of Newerth",7788.74,46,7
2013-07-01,"Injustice: Gods Among Us",7575,19,11
2013-07-01,"Street Fighter X Tekken",6055,15,5
2013-07-01,"King of Fighters XIII",4400,11,2
2013-07-01,"Tekken Tag Tournament 2",4160,14,6
2013-07-01,"Persona 4 Arena",4000,8,1
2013-07-01,"SMITE",3500,5,1
2013-07-01,"Mortal Kombat 9",2330,8,1
2013-07-01,"CrossFire",2173.58,42,5
2013-07-01,"Quake Live",1624.27,5,4
2013-07-01,"ShootMania Storm",1618.54,6,5
2013-07-01,"Super Smash Bros. Brawl",1615,20,7
2013-07-01,"Team Fortress 2",1323.1,18,1
2013-07-01,"TrackMania 2: Stadium",1295.1,3,1
2013-07-01,"StarCraft: Brood War",745.12,6,3
2013-07-01,"WarCraft III",523.17,2,4
2013-07-01,"FIFA 13",523.12,2,4
2013-07-01,"Project M",360,12,3
2013-07-01,"Age of Mythology",100,3,1
2013-08-01,"Dota 2",2903395.79,95,7
2013-08-01,"StarCraft II",832927.37,296,51
2013-08-01,"League of Legends",664897.38,361,37
2013-08-01,"Counter-Strike: Global Offensive",72234.63,242,14
2013-08-01,"Call of Duty: Black Ops 2",28490.41,38,6
2013-08-01,"Quake Live",25158.49,20,5
2013-08-01,"Team Fortress 2",21597.12,49,3
2013-08-01,"SMITE",19972.38,20,1
2013-08-01,"Heroes of Newerth",19638.48,69,8
2013-08-01,"Pokémon VGC",5000,2,1
2013-08-01,"Halo 4",4674.46,16,1
2013-08-01,"S.K.I.L.L. - Special Force 2",4054.33,10,1
2013-08-01,"Ultimate Marvel vs. Capcom 3",3708.67,23,6
2013-08-01,"Super Smash Bros. Melee",3578.67,30,9
2013-08-01,"Tekken Tag Tournament 2",3070.86,9,5
2013-08-01,"Street Fighter IV",2440,16,1
2013-08-01,"Super Street Fighter IV Arcade Edition",2408.67,16,9
2013-08-01,"CrossFire",2173.58,31,5
2013-08-01,"StarCraft: Brood War",1489.49,9,3
2013-08-01,"Injustice: Gods Among Us",1206.89,16,9
2013-08-01,"Doom II: Hell on Earth",1000,1,1
2013-08-01,"Super Smash Bros. Brawl",984.03,14,5
2013-08-01,"FIFA 13",665.75,5,5
2013-08-01,"WarCraft III",665.49,3,5
2013-08-01,"Age of Mythology",420,3,1
2013-08-01,"ShootMania Storm",399.47,2,3
2013-08-01,"Street Fighter X Tekken",215,6,4
2013-08-01,"Dragon Ball Z: Budokai 3",204.06,3,1
2013-08-01,"Project M",200,13,4
2013-08-01,"King of Fighters XIII",170,5,2
2013-08-01,"Soul Calibur V",95,3,1
2013-08-01,"Divekick",60,4,2
2013-09-01,"Halo 4",3e+05,8,1
2013-09-01,"League of Legends",204747.85,158,31
2013-09-01,"StarCraft II",72342.95,121,39
2013-09-01,"World of Tanks",63000,26,2
2013-09-01,"Counter-Strike: Global Offensive",59921.9,149,21
2013-09-01,"Heroes of Newerth",42414.97,95,5
2013-09-01,"Dota 2",37813.44,82,13
2013-09-01,"SMITE",20000,0,1
2013-09-01,"Call of Duty: Black Ops 2",18514.8,34,7
2013-09-01,"Super Street Fighter IV Arcade Edition",18014.78,41,12
2013-09-01,"Age of Empires II",10276,52,3
2013-09-01,"CrossFire",5568,33,6
2013-09-01,"WarCraft III",3590.98,14,5
2013-09-01,"Super Smash Bros. Melee",2610.26,31,7
2013-09-01,"Ultimate Marvel vs. Capcom 3",2430,17,5
2013-09-01,"Injustice: Gods Among Us",1995,25,8
2013-09-01,"StarCraft: Brood War",1717.52,6,2
2013-09-01,"Quake Live",1690.79,16,1
2013-09-01,"FIFA 13",1628.01,4,3
2013-09-01,"Tekken Tag Tournament 2",1305,21,6
2013-09-01,"Team Fortress 2",850,11,1
2013-09-01,"FIFA 14",267.1,2,2
2013-09-01,"Super Smash Bros. Brawl",205,7,3
2013-09-01,"Age of Mythology",200,4,1
2013-09-01,"Project M",140,8,3
2013-09-01,"Super Smash Bros.",81,1,1
2013-09-01,"Street Fighter X Tekken",40,17,3
2013-09-01,"Dead or Alive 5 Ultimate",0,8,1
2013-09-01,"King of Fighters XIII",0,15,2
2013-09-01,"Persona 4 Arena",0,8,1
2013-09-01,"Soul Calibur V",0,8,1
2013-10-01,"League of Legends",2200058.98,288,30
2013-10-01,"StarCraft II",592577.89,217,48
2013-10-01,"Call of Duty: Black Ops 2",111845.77,64,9
2013-10-01,"World of Tanks",1e+05,21,1
2013-10-01,"Counter-Strike: Global Offensive",88777.63,262,22
2013-10-01,"Point Blank",68000,62,2
2013-10-01,"Dota 2",64237.32,55,6
2013-10-01,"Heroes of Newerth",42309.01,85,8
2013-10-01,"iRacing.com",32000,10,2
2013-10-01,"Counter-Strike Online",25000,15,1
2013-10-01,"WarCraft III",7898.45,7,5
2013-10-01,"Super Smash Bros. Melee",6660.78,52,18
2013-10-01,"Defense of the Ancients",5955.02,0,1
2013-10-01,"Project M",2957,27,8
2013-10-01,"CrossFire",2173.58,32,5
2013-10-01,"StarCraft: Brood War",1948.11,9,3
2013-10-01,"Super Street Fighter IV Arcade Edition",1795,14,9
2013-10-01,"TrackMania 2: Stadium",1603,7,2
2013-10-01,"Super Smash Bros. Brawl",957,18,6
2013-10-01,"Injustice: Gods Among Us",655,11,6
2013-10-01,"Ultimate Marvel vs. Capcom 3",550,7,4
2013-10-01,"FIFA 14",545.72,3,5
2013-10-01,"Quake Live",500,3,1
2013-10-01,"Tekken Tag Tournament 2",385,8,5
2013-10-01,"Trackmania 2: Valley",238.68,3,1
2013-10-01,"Hearthstone",25,1,1
2013-11-01,"StarCraft II",558166.39,179,47
2013-11-01,"Dota 2",484692.96,132,17
2013-11-01,"League of Legends",481318.32,278,32
2013-11-01,"Counter-Strike: Global Offensive",349224.38,163,16
2013-11-01,"World of WarCraft",189000,12,1
2013-11-01,"CrossFire",140306.6,74,7
2013-11-01,"World of Tanks",1e+05,0,1
2013-11-01,"Heroes of Newerth",90132.99,105,13
2013-11-01,"Call of Duty: Ghosts",58195,41,7
2013-11-01,"Counter-Strike Online",39417.6,15,1
2013-11-01,"Call of Duty: Black Ops 2",20580,16,2
2013-11-01,"Super Street Fighter IV Arcade Edition",17033.72,27,10
2013-11-01,"Battlefield 4",15408.65,20,2
2013-11-01,"Quake Live",15273.72,4,1
2013-11-01,"ShootMania Storm",15000,9,1
2013-11-01,"Super Smash Bros. Melee",8630.4,58,18
2013-11-01,"FIFA 14",8539.64,8,6
2013-11-01,"TrackMania 2: Stadium",8000,3,1
2013-11-01,"rFactor",4595.99,30,1
2013-11-01,"WarCraft III",3041.45,9,6
2013-11-01,"StarCraft: Brood War",1440.38,6,2
2013-11-01,"Hearthstone",1370.34,2,2
2013-11-01,"Project M",699,17,5
2013-11-01,"Super Smash Bros. Brawl",675,14,6
2013-11-01,"Ultimate Marvel vs. Capcom 3",640,17,6
2013-11-01,"Call of Duty 4: Modern Warfare",534.8,5,1
2013-11-01,"Injustice: Gods Among Us",520,20,9
2013-11-01,"Team Fortress 2",392,18,1
2013-11-01,"Tekken Tag Tournament 2",235,10,4
2013-11-01,"Dead or Alive 5 Ultimate",0,4,1
2013-11-01,"King of Fighters XIII",0,4,1
2013-11-01,"Persona 4 Arena",0,3,1
2013-11-01,"Street Fighter X Tekken",0,3,1
2013-12-01,"League of Legends",394954.63,376,48
